	seqname	source	feature	start	end	score	strand	frame	attribute
0	6	ena	gene	2485869	2488948	.	-	.	"gene_id ""BVRB_6g129060""; gene_source ""ena""; gene_biotype ""protein_coding"";"
1	6	ena	gene	20067674	20079694	.	+	.	"gene_id ""BVRB_6g140140""; gene_source ""ena""; gene_biotype ""protein_coding"";"
2	6	ena	gene	797158	798695	.	-	.	"gene_id ""BVRB_6g127720""; gene_source ""ena""; gene_biotype ""protein_coding"";"
3	6	ena	gene	22425638	22426432	.	+	.	"gene_id ""BVRB_6g140870""; gene_source ""ena""; gene_biotype ""protein_coding"";"
4	6	ena	gene	15407637	15411834	.	-	.	"gene_id ""BVRB_6g138530""; gene_source ""ena""; gene_biotype ""protein_coding"";"
5	6	ena	gene	35493185	35499100	.	-	.	"gene_id ""BVRB_6g144240""; gene_source ""ena""; gene_biotype ""protein_coding"";"
6	6	ena	gene	10687424	10692638	.	+	.	"gene_id ""BVRB_6g135930""; gene_source ""ena""; gene_biotype ""protein_coding"";"
7	6	ena	gene	38507159	38509147	.	+	.	"gene_id ""BVRB_6g144930""; gene_source ""ena""; gene_biotype ""protein_coding"";"
8	6	ena	gene	189941	197650	.	-	.	"gene_id ""BVRB_6g127270""; gene_source ""ena""; gene_biotype ""protein_coding"";"
9	6	ena	gene	48893325	48894249	.	+	.	"gene_id ""BVRB_6g147560""; gene_source ""ena""; gene_biotype ""protein_coding"";"
10	6	ena	gene	52992085	53000419	.	-	.	"gene_id ""BVRB_6g149580""; gene_source ""ena""; gene_biotype ""protein_coding"";"
11	6	ena	gene	1002110	1006876	.	+	.	"gene_id ""BVRB_6g127940""; gene_source ""ena""; gene_biotype ""protein_coding"";"
12	6	ena	gene	54578151	54580291	.	+	.	"gene_id ""BVRB_6g150660""; gene_source ""ena""; gene_biotype ""protein_coding"";"
13	6	ena	gene	29992870	29994157	.	+	.	"gene_id ""BVRB_6g142850""; gene_source ""ena""; gene_biotype ""protein_coding"";"
14	6	ena	gene	56097858	56100690	.	+	.	"gene_id ""BVRB_6g151700""; gene_source ""ena""; gene_biotype ""protein_coding"";"
15	6	ena	gene	906050	911009	.	+	.	"gene_id ""BVRB_6g127860""; gene_source ""ena""; gene_biotype ""protein_coding"";"
16	6	ena	gene	60505906	60530380	.	+	.	"gene_id ""BVRB_6g155060""; gene_source ""ena""; gene_biotype ""protein_coding"";"
17	6	ena	gene	13800893	13806819	.	-	.	"gene_id ""BVRB_6g137750""; gene_source ""ena""; gene_biotype ""protein_coding"";"
18	6	ena	gene	23039941	23043012	.	+	.	"gene_id ""BVRB_6g141020""; gene_source ""ena""; gene_biotype ""protein_coding"";"
19	6	ena	gene	56528876	56534250	.	-	.	"gene_id ""BVRB_6g152110""; gene_source ""ena""; gene_biotype ""protein_coding"";"
20	6	ena	gene	58266853	58269531	.	+	.	"gene_id ""BVRB_6g153260""; gene_source ""ena""; gene_biotype ""protein_coding"";"
